CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
21793,NM,"FORT LAUDERDALE, FL",5439,6/20/2014,10501,4068,VALLEY BANK,"81,843.00",66541,FAILURE,PA,DIF,0.081843
32368,SB,"BEL AIR, MD",10954,5/30/2014,10500,4066,SLAVIE FEDERAL SAVINGS BANK,"140,063.00",111142,FAILURE,PA,DIF,0.140063
32284,SI,"CINCINNATI, OH",7224,5/23/2014,10499,4065,COLUMBIA SAVINGS BANK,"36,484.00",29538,FAILURE,PA,DIF,0.036484
57866,NM,"BERWYN, IL",21715,5/16/2014,10498,4064,AZTECAMERICA BANK,"66,309.00",65031,FAILURE,PA,DIF,0.066309
15062,NM,"FAIRFAX, SC",22149,4/25/2014,10497,4063,ALLENDALE COUNTY BANK,"49,498.00",49356,FAILURE,PA,DIF,0.049498
35096,N,"STERLING, VA",10940,2/28/2014,10495,4061,"MILLENNIUM BANK, NATIONAL ASSOCIATION","130,305.00",121704,FAILURE,PA,DIF,0.130305
58531,NM,"HORSHAM, PA",8956,2/28/2014,10496,4062,VANTAGE POINT BANK,"63,453.00",62472,FAILURE,PA,DIF,0.063453
34296,NM,"BOISE, ID",3487,1/31/2014,10494,4060,SYRINGA BANK,"153,361.00",145813,FAILURE,PA,DIF,0.153361
17967,NM,"EL RENO, OK",93335,1/24/2014,10493,4059,THE  BANK OF UNION,"317,172.00",315843,FAILURE,PA,DIF,0.317172
5732,N,"WEST CHICAGO, IL",1530,1/17/2014,10492,4058,DUPAGE NATIONAL BANK,"53,524.00",51878,FAILURE,PA,DIF,0.053524
57431,N,"THE WOODLANDS, TX",14203,12/13/2013,10491,4057,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION","159,257.00",142640,FAILURE,PA,DIF,0.159257
14794,NM,"GRACEVILLE, FL",5849,10/30/2013,10490,4056,BANK OF JACKSON COUNTY,"24,724.00",24591,FAILURE,PA,DIF,0.024724
14318,N,"EDINBURG, TX",616574,9/13/2013,10488,4054,FIRST NATIONAL BANK,"3,085,764.00",2338335,FAILURE,PA,DIF,3.085764
57041,NM,"BRIDGEPORT, CT",9211,9/13/2013,10489,4055,THE COMMUNITY'S BANK,"26,368.00",25715,FAILURE,PO,DIF,0.026368
19849,NM,"PARSONS, TN",130319,8/23/2013,10486,4052,COMMUNITY SOUTH BANK,"386,908.00",377672,FAILURE,PA,DIF,0.386908
34707,NM,"PHOENIX, AZ",15391,8/23/2013,10487,4053,SUNRISE BANK OF ARIZONA,"202,179.00",196924,FAILURE,PA,DIF,0.202179
35016,NM,"WAUSAU, WI",13428,8/9/2013,10485,4051,BANK OF WAUSAU,"43,564.00",40663,FAILURE,PA,DIF,0.043564
34943,NM,"FORT MYERS, FL",24921,8/2/2013,10484,4050,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,"247,315.00",243618,FAILURE,PA,DIF,0.247315
34789,N,"SEVIERVILLE, TN",33292,6/7/2013,10483,4049,MOUNTAIN NATIONAL BANK,"437,282.00",373366,FAILURE,PA,DIF,0.437282
58358,NM,"NORTH LAS VEGAS, NV",5208,6/6/2013,10482,4048,1st COMMERCE BANK,"20,152.00",19579,FAILURE,PA,DIF,0.020152
35386,NM,"KENOSHA, WI",22789,5/31/2013,10478,4047,BANKS OF WISCONSIN,"134,024.00",127590,FAILURE,PA,DIF,0.134024
34527,NM,"SCOTTSDALE, AZ",5425,5/14/2013,10479,4046,CENTRAL ARIZONA BANK,"31,550.00",30822,FAILURE,PA,DIF,0.03155
58185,NM,"VALDOSTA, GA",16185,5/10/2013,10481,4044,SUNRISE BANK,"60,793.00",57775,FAILURE,PA,DIF,0.060793
58701,NM,"ASHEVILLE, NC",7943,5/10/2013,10480,4045,PISGAH COMMUNITY BANK,"21,880.00",21246,FAILURE,PA,DIF,0.02188
21649,NM,"DOUGLASVILLE, GA",89606,4/26/2013,10476,4042,DOUGLAS COUNTY BANK,"317,288.00",315326,FAILURE,PA,DIF,0.317288
57158,NM,"LENOIR, NC",16490,4/26/2013,10477,4043,PARKWAY BANK,"109,642.00",104709,FAILURE,PA,DIF,0.109642
26680,NM,"ORANGE PARK, FL",25231,4/19/2013,10475,4039,HERITAGE BANK OF NORTH FLORIDA,"103,960.00",106348,FAILURE,PA,DIF,0.10396
29594,SB,"LEXINGTON, KY",7767,4/19/2013,10474,4040,FIRST FEDERAL BANK,"92,982.00",87196,FAILURE,PA,DIF,0.092982
58034,NM,"MARIANNA, FL",7920,4/19/2013,10473,4041,CHIPOLA COMMUNITY BANK,"37,471.00",37067,FAILURE,PA,DIF,0.037471
58066,SM,"GOLD CANYON, AZ",8263,4/5/2013,10472,4038,GOLD CANYON BANK,"42,125.00",41728,FAILURE,PA,DIF,0.042125
16431,NM,"LAGRANGE, GA",73446,3/8/2013,10471,4037,FRONTIER BANK,"258,840.00",224108,FAILURE,PA,DIF,0.25884
22476,NM,"CHICAGO, IL",19576,2/15/2013,10470,4036,COVENANT BANK,"58,422.00",54202,FAILURE,PA,DIF,0.058422
57157,NM,"ANDOVER, MN",12229,1/18/2013,10469,4035,1ST REGENTS BANK,"49,626.00",49147,FAILURE,PA,DIF,0.049626
33997,NM,"UNIVERSITY PLACE, WA",22860,1/11/2013,10468,4034,WESTSIDE COMMUNITY BANK,"91,935.00",91879,FAILURE,PA,DIF,0.091935
27331,NM,"SUNRISE, MO",13419,12/14/2012,10467,4033,COMMUNITY BANK OF THE OZARKS,"42,816.00",41881,FAILURE,PA,DIF,0.042816
57928,NM,"BRASELTON, GA",39665,11/16/2012,10466,4032,HOMETOWN COMMUNITYBANK,"124,561.00",108931,FAILURE,PA,DIF,0.124561
3731,N,"PRINCETON, IL",32458,11/2/2012,10464,4030,CITIZENS FIRST NATIONAL BANK,"923,959.00",869440,FAILURE,PA,DIF,0.923959
35009,NM,"LUTZ, FL",74020,11/2/2012,10465,4031,HERITAGE BANK OF FLORIDA,"225,477.00",223309,FAILURE,PA,DIF,0.225477
27148,SI,"BERWYN, PA",86885,10/26/2012,10463,4029,NOVA BANK,"444,710.00",395248,FAILURE,PO,DIF,0.44471
19189,NM,"SEDALIA, MO",29582,10/19/2012,10460,4026,EXCEL BANK,"186,113.00",173670,FAILURE,PA,DIF,0.186113
28144,SB,"TAMARAC, FL",12370,10/19/2012,10461,4027,FIRST EAST SIDE SAVINGS BANK,"65,686.00",64888,FAILURE,PA,DIF,0.065686
58073,NM,"DESTIN, FL",40510,10/19/2012,10462,4028,GULFSOUTH PRIVATE BANK,"139,391.00",131579,FAILURE,PA,DIF,0.139391
