CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
27583,NM,"TAMPA, FL",33477,6/17/2011,10370,3937,FIRST COMMERCIAL BANK OF TAMPA BAY,"98,624.00",92641,FAILURE,PA,DIF,0.098624
58420,SB,"CHARLESTON, SC",31355,6/3/2011,10369,3935,ATLANTIC BANK AND TRUST,"208,204.00",191614,FAILURE,PA,DIF,0.208204
23626,NM,"SNOHOMISH, WA",33596,5/27/2011,10368,3934,FIRST HERITAGE BANK,"173,478.00",163303,FAILURE,PA,DIF,0.173478
513,NM,"BURLINGTON, WA",24195,5/20/2011,10367,3931,SUMMIT BANK,"142,729.00",131631,FAILURE,PA,DIF,0.142729
57213,NM,"MACON, GA",280971,5/20/2011,10365,3932,ATLANTIC SOUTHERN BANK,"741,855.00",707643,FAILURE,PA,DIF,0.741855
57647,NM,"FRANKLIN, GA",134843,5/20/2011,10366,3933,FIRST GEORGIA BANKING COMPANY,"730,981.00",702231,FAILURE,PA,DIF,0.730981
34898,SB,"COCOA BEACH, FL",18527,5/6/2011,10364,3930,COASTAL BANK,"129,429.00",123950,FAILURE,PA,DIF,0.129429
19797,SM,"VALDOSTA, GA",212266,4/29/2011,10363,3925,THE PARK AVENUE BANK,"849,409.00",724483,FAILURE,PA,DIF,0.849409
26297,N,"WINTER PARK, FL",42899,4/29/2011,10362,3926,FIRST NATIONAL BANK OF CENTRAL FLORIDA,"342,079.00",308784,FAILURE,PA,DIF,0.342079
34234,NM,"MOUNT CLEMENS, MI",98636,4/29/2011,10359,3927,COMMUNITY CENTRAL BANK,"451,683.00",371494,FAILURE,PA,DIF,0.451683
57625,NM,"BROOKSVILLE, FL",17194,4/29/2011,10360,3928,CORTEZ COMMUNITY  BANK,"66,282.00",65439,FAILURE,PA,DIF,0.066282
58539,NM,"DALLAS, GA",105180,4/29/2011,10361,3929,FIRST CHOICE COMMUNITY BANK,"291,196.00",294769,FAILURE,PA,DIF,0.291196
14273,NM,"CARTHAGE, MS",37841,4/15/2011,10354,3919,HERITAGE BANKING GROUP,"228,328.00",205035,FAILURE,PA,DIF,0.228328
17750,SB,"BIRMINGHAM, AL",285788,4/15/2011,10358,3920,SUPERIOR BANK,"2,977,290.00",2736201,FAILURE,PA,DIF,2.97729
19794,NM,"BIRMINGHAM, AL",182002,4/15/2011,10356,3921,NEXITY BANK,"757,574.00",611681,FAILURE,PA,DIF,0.757574
21495,NM,"CARTERSVILLE, GA",83037,4/15/2011,10353,3922,BARTOW COUNTY BANK,"314,019.00",290005,FAILURE,PA,DIF,0.314019
24099,N,"ROSEMOUNT, MN",5398,4/15/2011,10357,3923,ROSEMOUNT NATIONAL BANK,"21,454.00",20980,FAILURE,PA,DIF,0.021454
57705,NM,"EAST ELLIJAY, GA",34708,4/15/2011,10355,3924,NEW HORIZONS BANK,"103,055.00",99022,FAILURE,PA,DIF,0.103055
10086,N,"WESTERN SPRINGS, IL",38047,4/8/2011,10352,3917,WESTERN SPRINGS NATIONAL BANK AND TRUST,"186,677.00",182441,FAILURE,PA,DIF,0.186677
35418,NM,"LAS VEGAS, NV",38492,4/8/2011,10351,3918,NEVADA COMMERCE BANK,"135,064.00",128573,FAILURE,PA,DIF,0.135064
34292,NM,"WOOD DALE, IL",44142,3/25/2011,10350,3916,THE BANK OF COMMERCE,"163,074.00",161379,FAILURE,PA,DIF,0.163074
4077,N,"DAVIS, OK",29846,3/11/2011,10349,3914,THE FIRST NATIONAL BANK OF DAVIS,"90,183.00",68331,FAILURE,PA,DIF,0.090183
34818,SM,"MILWAUKEE, WI",73718,3/11/2011,10348,3915,LEGACY BANK,"190,418.00",183309,FAILURE,PA,DIF,0.190418
34187,NM,"ST. CHARLES, IL",28270,2/25/2011,10347,3913,VALLEY COMMUNITY BANK,"123,774.00",124179,FAILURE,PA,DIF,0.123774
151,NM,"CLARKESVILLE, GA",119370,2/18/2011,10345,3909,HABERSHAM BANK,"387,681.00",339934,FAILURE,PA,DIF,0.387681
34601,NM,"SPRINGFIELD, GA",48229,2/18/2011,10344,3910,CITIZENS BANK OF EFFINGHAM,"214,275.00",206490,FAILURE,PA,DIF,0.214275
34783,SB,"SAN LUIS OBISPO, CA",72906,2/18/2011,10346,3911,"SAN LUIS TRUST BANK, FSB","332,596.00",272216,FAILURE,PA,DIF,0.332596
57855,NM,"NAPA, CA",20076,2/18/2011,10343,3912,CHARTER OAK BANK,"120,833.00",105309,FAILURE,PA,DIF,0.120833
13272,NM,"CASSVILLE, WI",19454,2/11/2011,10339,3905,BADGER STATE BANK,"83,828.00",78549,FAILURE,PA,DIF,0.083828
14939,NM,"HAMTRAMCK, MI",103057,2/11/2011,10341,3906,PEOPLES STATE BANK,"390,524.00",389868,FAILURE,PA,DIF,0.390524
34692,N,"PALM SPRINGS, CA",15617,2/11/2011,10340,3907,CANYON NATIONAL BANK,"210,859.00",205285,FAILURE,PA,DIF,0.210859
35478,NM,"PORT ORANGE, FL",32294,2/11/2011,10342,3908,SUNSHINE STATE COMMUNITY BANK,"125,531.00",116715,FAILURE,PA,DIF,0.125531
35242,NM,"WATKINSVILLE, GA",48161,2/4/2011,10338,3902,NORTH GEORGIA BANK,"153,172.00",139672,FAILURE,PA,DIF,0.153172
57432,NM,"ROSWELL, GA",69323,2/4/2011,10336,3903,AMERICAN TRUST BANK,"238,205.00",222161,FAILURE,PA,DIF,0.238205
57948,SM,"CHICAGO, IL",10213,2/4/2011,10337,3904,COMMUNITY FIRST BANK - CHICAGO,"51,083.00",49504,FAILURE,PA,DIF,0.051083
2303,NM,"CAMARGO, OK",33590,1/28/2011,10335,3898,THE FIRST STATE BANK,"44,546.00",41204,FAILURE,PA,DIF,0.044546
5328,NM,"STOUGHTON, WI",28060,1/28/2011,10332,3899,EVERGREEN STATE BANK,"240,949.00",193694,FAILURE,PA,DIF,0.240949
12261,SM,"TAOS, NM",230946,1/28/2011,10333,3900,FIRST COMMUNITY BANK,"2,188,154.00",1847851,FAILURE,PA,DIF,2.188154
57646,NM,"LOUISVILLE, CO",235633,1/28/2011,10334,3901,FIRSTIER BANK,"764,090.00",718797,FAILURE,DINB,DIF,0.76409
19758,NM,"MCDONOUGH, GA",43650,1/21/2011,10329,3894,ENTERPRISE BANKING COMPANY,"99,461.00",94591,FAILURE,DINB,DIF,0.099461
31293,SL,"DENVER, CO",137752,1/21/2011,10331,3895,UNITED WESTERN BANK,"2,153,690.00",1535194,FAILURE,PA,DIF,2.15369
34516,NM,"ASHEVILLE, NC",43945,1/21/2011,10330,3896,THE BANK OF ASHEVILLE,"204,925.00",199394,FAILURE,PA,DIF,0.204925
57868,NM,"EASLEY, SC",45189,1/21/2011,10328,3897,COMMUNITYSOUTH BANK AND TRUST,"340,986.00",314250,FAILURE,PA,DIF,0.340986
57440,NM,"BRUNSWICK, GA",84066,1/14/2011,10327,3893,OGLETHORPE BANK,"211,149.00",201369,FAILURE,PA,DIF,0.211149
34965,SM,"ORLANDO, FL",88904,1/7/2011,10325,3891,FIRST COMMERCIAL BANK OF FLORIDA,"578,638.00",537223,FAILURE,PA,DIF,0.578638
57820,NM,"SCOTTSDALE, AZ",32224,1/7/2011,10326,3892,LEGACY BANK,"136,446.00",119685,FAILURE,PA,DIF,0.136446
19040,N,"CORAL GABLES, FL",28548,12/17/2010,10324,3885,THE BANK OF MIAMI,"448,150.00",374218,FAILURE,PA,DIF,0.44815
23306,N,"LINO LAKES, MN",5827,12/17/2010,10321,3886,COMMUNITY NATIONAL BANK,"31,569.00",28844,FAILURE,PA,DIF,0.031569
34578,NM,"DAWSONVILLE, GA",83075,12/17/2010,10320,3887,CHESTATEE STATE BANK,"244,376.00",240476,FAILURE,PA,DIF,0.244376
35065,N,"ATLANTA, GA",96415,12/17/2010,10323,3888,UNITED AMERICAS BANK,"242,339.00",193803,FAILURE,PA,DIF,0.242339
58052,NM,"BATESVILLE, AR",24771,12/17/2010,10322,3889,FIRST SOUTHERN BANK,"191,764.00",155803,FAILURE,PA,DIF,0.191764
58495,SB,"MCCAYSVILLE, GA",28452,12/17/2010,10319,3890,"APPALACIAN COMMUNITY BANK, F.S.B.","68,201.00",76360,FAILURE,PA,DIF,0.068201
34673,SM,"FARMINGTON HILLS, MI",68586,12/10/2010,10318,3883,PARAMOUNT BANK,"252,744.00",213550,FAILURE,PA,DIF,0.252744
35561,NM,"SOUTHAMPTON, PA",22767,12/10/2010,10317,3884,EARTHSTAR BANK,"112,643.00",104505,FAILURE,PA,DIF,0.112643
5287,SM,"BURLINGTON, WI",86930,11/19/2010,10315,3880,FIRST BANKING CENTER,"750,724.00",664752,FAILURE,PA,DIF,0.750724
20340,NM,"CARRABELLE, FL",44443,11/19/2010,10316,3881,GULF STATE COMMUNITY BANK,"112,144.00",112193,FAILURE,PA,DIF,0.112144
35078,NM,"BALA CYNWYD, PA",12652,11/19/2010,10314,3882,ALLEGIANCE BANK OF NORTH AMERICA,"106,595.00",91996,FAILURE,PA,DIF,0.106595
14580,NM,"VIDALIA, GA",125908,11/12/2010,10312,3877,DARBY BANK & TRUST COMPANY,"654,714.00",587626,FAILURE,PA,DIF,0.654714
35463,NM,"SCOTTSDALE, AZ",52561,11/12/2010,10311,3878,COPPER STAR BANK,"203,955.00",190182,FAILURE,PA,DIF,0.203955
57831,NM,"TIFTON, GA",21383,11/12/2010,10313,3879,TIFTON BANKING COMPANY,"143,729.00",141573,FAILURE,PA,DIF,0.143729
31263,NM,"RANDALLSTOWN, MD",136787,11/5/2010,10308,3873,K BANK,"538,258.00",500056,FAILURE,PA,DIF,0.538258
34411,SM,"TACOMA, WA",26754,11/5/2010,10309,3874,PIERCE COMMERCIAL BANK,"221,082.00",193473,FAILURE,PA,DIF,0.221082
57885,NM,"WESTMINSTER, CA",14264,11/5/2010,10307,3875,FIRST VIETNAMESE AMERICAN BANK,"48,000.00",47012,FAILURE,PA,DIF,0.048
58087,NM,"WOODLAND HILLS, CA",16943,11/5/2010,10310,3876,WESTERN COMMERCIAL BANK,"98,635.00",101127,FAILURE,PA,DIF,0.098635
2119,N,"BARNESVILLE, GA",46897,10/22/2010,10304,3866,THE FIRST NATIONAL BANK OF BARNESVILLE,"126,622.00",122880,FAILURE,PA,DIF,0.126622
16089,N,"MAYWOOD, IL",44303,10/22/2010,10301,3867,FIRST SUBURBAN NATIONAL BANK,"143,451.00",135475,FAILURE,PA,DIF,0.143451
22173,NM,"OVERLAND PARK, KS",275262,10/22/2010,10302,3868,HILLCREST BANK,"1,583,611.00",1488785,FAILURE,PA,DIF,1.583611
27573,NM,"JACKSONVILLE, FL",14277,10/22/2010,10300,3869,FIRST BANK OF JACKSONVILLE,"73,922.00",72198,FAILURE,PA,DIF,0.073922
32251,SM,"TAMPA, FL",34562,10/22/2010,10303,3870,PROGRESS BANK OF FLORIDA,"94,823.00",86861,FAILURE,PA,DIF,0.094823
32582,SB,"SCOTTSDALE, AZ",26950,10/22/2010,10306,3871,"FIRST ARIZONA SAVINGS, A FSB","255,920.00",190615,FAILURE,PO,DIF,0.25592
33904,NM,"GORDON, GA",10354,10/22/2010,10305,3872,THE GORDON BANK,"29,259.00",26867,FAILURE,PA,DIF,0.029259
30898,SB,"OLATHE, KS",53100,10/15/2010,10298,3863,"SECURITY SAVINGS BANK, F.S.B.","453,349.00",347080,FAILURE,PA,DIF,0.453349
34016,NM,"JEFFERSON CITY, MO",309403,10/15/2010,10297,3864,PREMIER BANK,"989,382.00",869367,FAILURE,PA,DIF,0.989382
58205,NM,"CHESTERFIELD, MO",22436,10/15/2010,10299,3865,WESTBRIDGE BANK AND TRUST COMPANY,"87,782.00",70131,FAILURE,PA,DIF,0.087782
21777,NM,"CRAWFORDVILLE, FL",120039,10/1/2010,10296,3861,WAKULLA BANK,"402,205.00",367228,FAILURE,PA,DIF,0.402205
35250,NM,"SHORELINE, WA",23478,10/1/2010,10295,3862,SHORELINE BANK,"92,980.00",90644,FAILURE,PA,DIF,0.09298
35053,NM,"ARLINGTON, WA",70800,9/24/2010,10294,3859,NORTH COUNTY BANK,"288,776.00",276081,FAILURE,PA,DIF,0.288776
58308,NM,"PONTE VEDRA BEACH, FL",34827,9/24/2010,10293,3860,HAVEN TRUST BANK FLORIDA,"148,575.00",133561,FAILURE,PA,DIF,0.148575
182,NM,"WINDER, GA",101852,9/17/2010,10292,3853,THE PEOPLES BANK,"447,185.00",398181,FAILURE,PA,DIF,0.447185
27808,SI,"MILFORD, OH",17928,9/17/2010,10288,3854,BRAMBLE SAVINGS BANK,"47,523.00",41551,FAILURE,PA,DIF,0.047523
28612,SL,"WEST ALLIS, WI",88384,9/17/2010,10291,3855,MARITIME SAVINGS BANK,"350,488.00",248134,FAILURE,PA,DIF,0.350488
57107,NM,"CHERRY HILL, NJ",18856,9/17/2010,10290,3856,ISN BANK,"81,564.00",79652,FAILURE,PA,DIF,0.081564
57448,NM,"DOUGLASVILLE, GA",101039,9/17/2010,10289,3857,FIRST COMMERCE COMMUNITY BANK,"248,151.00",242831,FAILURE,PA,DIF,0.248151
58197,NM,"ELLIJAY, GA",79709,9/17/2010,10287,3858,THE BANK OF ELLIJAY,"168,820.00",160718,FAILURE,PA,DIF,0.16882
35061,SM,"BRADENTON, FL",61295,9/10/2010,10286,3852,HORIZON BANK,"187,819.00",164594,FAILURE,PA,DIF,0.187819
15640,NM,"CHICAGO, IL",525962,8/20/2010,10284,3844,SHOREBANK,"2,166,431.00",1547403,FAILURE,PA,DIF,2.166431
25266,N,"BARTOW, FL",9170,8/20/2010,10279,3845,COMMUNITY NATIONAL BANK AT BARTOW,"67,918.00",63708,FAILURE,PA,DIF,0.067918
27090,SM,"STOCKTON, CA",34038,8/20/2010,10283,3846,PACIFIC STATE BANK,"312,077.00",278832,FAILURE,PA,DIF,0.312077
27259,NM,"SONOMA, CA",10285,8/20/2010,10285,3847,SONOMA VALLEY BANK,"337,113.00",255501,FAILURE,PA,DIF,0.337113
27344,N,"OCALA, FL",11982,8/20/2010,10281,3848,INDEPENDENT NATIONAL BANK,"156,218.00",141877,FAILURE,PA,DIF,0.156218
31623,SL,"MARTINSVILLE, VA",4746,8/20/2010,10280,3849,IMPERIAL SAVINGS AND LOAN ASSOCIATION,"9,448.00",10090,FAILURE,PA,DIF,0.009448
32165,SB,"SOLVANG, CA",3434,8/20/2010,10282,3850,LOS PADRES BANK,"866,459.00",770899,FAILURE,PA,DIF,0.866459
33219,NM,"CHICO, CA",1663,8/20/2010,10278,3851,BUTTE COMMUNITY BANK,"498,751.00",471256,FAILURE,PA,DIF,0.498751
17599,NM,"PALOS HEIGHTS, IL",66962,8/13/2010,10277,3843,PALOS BANK AND TRUST COMPANY,"493,391.00",467784,FAILURE,PA,DIF,0.493391
34231,NM,"CHICAGO, IL",68542,8/6/2010,10276,3842,RAVENSWOOD BANK,"264,628.00",269448,FAILURE,PA,DIF,0.264628
9619,NM,"PANAMA CITY BEACH, FL",116866,7/30/2010,10272,3837,COASTAL COMMUNITY BANK,"377,469.00",370016,FAILURE,PA,DIF,0.377469
22643,NM,"LONGVIEW, WA",32256,7/30/2010,10275,3838,THE COWLITZ BANK,"489,019.00",474742,FAILURE,PA,DIF,0.489019
31964,NM,"EUGENE, OR",51621,7/30/2010,10273,3839,LIBERTYBANK,"714,574.00",692670,FAILURE,PA,DIF,0.714574
57658,NM,"ACWORTH, GA",33627,7/30/2010,10274,3840,NORTHWEST BANK & TRUST,"160,763.00",155531,FAILURE,PA,DIF,0.160763
57669,SB,"PORT SAINT JOE, FL",12479,7/30/2010,10271,3841,BAYSIDE SAVINGS BANK,"64,344.00",52720,FAILURE,PA,DIF,0.064344
10506,SM,"SYLVAN GROVE, KS",6651,7/23/2010,10269,3830,THUNDER BANK,"28,248.00",27048,FAILURE,PA,DIF,0.028248
17837,N,"KINGSTREE, SC",2425,7/23/2010,10270,3831,WILLIAMSBURG FIRST NATIONAL BANK,"130,411.00",126993,FAILURE,PA,DIF,0.130411
23181,SM,"CAVE JUNCTION, OR",28068,7/23/2010,10266,3832,HOME VALLEY BANK,"250,488.00",227935,FAILURE,PA,DIF,0.250488
27559,NM,"JASPER, GA",304130,7/23/2010,10265,3833,CRESCENT BANK AND TRUST COMPANY,"970,235.00",932809,FAILURE,PA,DIF,0.970235
32536,SM,"LANTANA, FL",41792,7/23/2010,10268,3834,STERLING BANK,"354,966.00",329541,FAILURE,PA,DIF,0.354966
34486,NM,"NEW PRAGUE, MN",18495,7/23/2010,10264,3835,COMMUNITY SECURITY BANK,"100,649.00",95100,FAILURE,PA,DIF,0.100649
35434,NM,"LAS VEGAS, NV",86297,7/23/2010,10267,3836,SOUTHWESTUSA BANK,"203,690.00",183985,FAILURE,PA,DIF,0.20369
25172,SM,"MIAMI, FL",64179,7/16/2010,10259,3824,METRO BANK OF DADE COUNTY,"399,441.00",375522,FAILURE,PA,DIF,0.399441
28136,SB,"HASTINGS, MI",12789,7/16/2010,10258,3825,"MAINSTREET SAVINGS BANK, FSB","96,584.00",63291,FAILURE,PA,DIF,0.096584
28864,SB,"CLEWISTON, FL",25533,7/16/2010,10260,3826,OLDE CYPRESS COMMUNITY BANK,"161,355.00",157997,FAILURE,PA,DIF,0.161355
32280,SB,"AVENTURA, FL",28658,7/16/2010,10261,3827,TURNBERRY BANK,"240,251.00",179169,FAILURE,PA,DIF,0.240251
32571,SB,"BLUFFTON, SC",107349,7/16/2010,10262,3828,WOODLANDS BANK,"382,803.00",364808,FAILURE,PA,DIF,0.382803
35383,N,"SPARTANBURG, SC",68274,7/16/2010,10263,3829,FIRST NATIONAL BANK OF THE SOUTH,"619,374.00",550891,FAILURE,PA,DIF,0.619374
11636,N,"BLACKWELL, OK",65822,7/9/2010,10256,3820,HOME NATIONAL BANK,"585,445.00",514038,FAILURE,PA,DIF,0.585445
32456,SB,"BALTIMORE, MD",3756,7/9/2010,10257,3821,IDEAL FEDERAL SAVINGS BANK,"6,177.00",5803,FAILURE,PO,DIF,0.006177
35462,N,"BALTIMORE, MD",21144,7/9/2010,10255,3822,BAY NATIONAL BANK,"217,743.00",212612,FAILURE,PA,DIF,0.217743
58072,NM,"PORT CHESTER, NY",63537,7/9/2010,10254,3823,USA BANK,"190,678.00",188644,FAILURE,PA,DIF,0.190678
26563,NM,"ENGLEWOOD, FL",184045,6/25/2010,10253,3817,PENINSULA BANK,"630,179.00",580140,FAILURE,PA,DIF,0.630179
34152,N,"SAVANNAH, GA",78339,6/25/2010,10251,3818,FIRST NATIONAL BANK,"252,520.00",231857,FAILURE,PA,DIF,0.25252
35279,NM,"ALBUQUERQUE, NM",28392,6/25/2010,10252,3819,HIGH DESERT STATE BANK,"80,343.00",80985,FAILURE,PA,DIF,0.080343
57110,NM,"RENO, NV",70039,6/18/2010,10250,3816,NEVADA SECURITY BANK,"492,491.00",479759,FAILURE,PA,DIF,0.492491
32955,NM,"SEATTLE, WA",95151,6/11/2010,10249,3815,WASHINGTON FIRST INTERNATIONAL BANK,"520,887.00",441362,FAILURE,PA,DIF,0.520887
15814,N,"ROSEDALE, MS",18085,6/4/2010,10247,3812,FIRST NATIONAL BANK,"60,449.00",63483,FAILURE,PA,DIF,0.060449
29341,SB,"LINCOLN, NE",0,6/4/2010,10248,3813,TIERONE BANK,"2,824,737.00",2185817,FAILURE,PA,DIF,2.824737
31813,SI,"ARCOLA, IL",11534,6/4/2010,10246,3814,ARCOLA HOMESTEAD SAVINGS BANK,"17,028.00",18092,FAILURE,PO,DIF,0.017028
34785,NM,"LAS VEGAS, NV",115960,5/28/2010,10245,3807,SUN WEST BANK,"360,662.00",353943,FAILURE,PA,DIF,0.360662
35106,NM,"NAPLES, FL",87638,5/28/2010,10242,3808,BANK OF FLORIDA - SOUTHWEST,"640,894.00",559897,FAILURE,PA,DIF,0.640894
57315,N,"GRANITE BAY, CA",13175,5/28/2010,10244,3809,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION","102,913.00",94252,FAILURE,PA,DIF,0.102913
57360,NM,"FORT LAUDERDALE, FL",60470,5/28/2010,10241,3810,BANK OF FLORIDA - SOUTHEAST,"595,318.00",531752,FAILURE,PA,DIF,0.595318
57814,NM,"TAMPA BAY, FL",30582,5/28/2010,10243,3811,BANK OF FLORIDA - TAMPA BAY,"240,513.00",224024,FAILURE,PA,DIF,0.240513
57735,NM,"ST. PAUL, MN",8410,5/21/2010,10240,3806,PINEHURST BANK,"61,215.00",58288,FAILURE,PA,DIF,0.061215
18117,SM,"ELMWOOD PARK, IL",0,5/14/2010,10236,3802,MIDWEST BANK AND TRUST COMPANY,"3,172,915.00",2420738,FAILURE,PA,DIF,3.172915
34255,NM,"SPRINGFIELD, MO",25580,5/14/2010,10239,3803,SOUTHWEST COMMUNITY BANK,"100,659.00",102463,FAILURE,PA,DIF,0.100659
35114,NM,"SAINT MARYS, GA",36321,5/14/2010,10238,3804,SATILLA COMMUNITY BANK,"135,688.00",134005,FAILURE,PA,DIF,0.135688
35586,NM,"PLYMOUTH, MI",23558,5/14/2010,10237,3805,NEW LIBERTY BANK,"111,239.00",101884,FAILURE,PA,DIF,0.111239
14246,NM,"BONIFAY, FL",65967,5/7/2010,10234,3798,THE BANK OF BONIFAY,"242,871.00",230190,FAILURE,PA,DIF,0.242871
16476,NM,"CHAMPLIN, MN",7916,5/7/2010,10233,3799,ACCESS BANK,"31,996.00",31969,FAILURE,PA,DIF,0.031996
35517,SM,"SAN DIEGO, CA",6342,5/7/2010,10232,3800,1st PACIFIC BANK OF CALIFORNIA,"335,798.00",291173,FAILURE,PA,DIF,0.335798
57697,NM,"MESA, AZ",44322,5/7/2010,10235,3801,TOWNE BANK OF ARIZONA,"120,246.00",113243,FAILURE,PA,DIF,0.120246
17792,N,"BUTLER, MO",8620,4/30/2010,10225,3791,BC NATIONAL BANKS,"52,204.00",43635,FAILURE,PA,DIF,0.052204
22710,NM,"EVERETT, WA",453920,4/30/2010,10228,3792,FRONTIER BANK,"3,250,734.00",2846886,FAILURE,PA,DIF,3.250734
27150,NM,"SAN JUAN, PR",539124,4/30/2010,10229,3793,EUROBANK,"2,453,138.00",1861350,FAILURE,PA,DIF,2.453138
30005,SI,"PORT HURON, MI",340615,4/30/2010,10226,3794,CF BANCORP,"1,599,122.00",1418445,FAILURE,PA,DIF,1.599122
31027,NM,"MAYAGUEZ, PR",2179824,4/30/2010,10231,3795,WESTERNBANK PUERTO RICO,"10,797,345.00",8420357,FAILURE,PA,DIF,10.797345
32185,NM,"HATO REY, PR",984319,4/30/2010,10230,3796,R-G PREMIER BANK OF PUERTO RICO,"5,681,177.00",4220108,FAILURE,PA,DIF,5.681177
58362,NM,"CREVE COEUR, MO",57091,4/30/2010,10227,3797,CHAMPION BANK,"195,510.00",162816,FAILURE,PA,DIF,0.19551
3735,N,"ROCKFORD, IL",15939,4/23/2010,10218,3784,"AMCORE BANK, NATIONAL ASSOCIATION","3,066,240.00",2743485,FAILURE,PA,DIF,3.06624
10888,NM,"PEOTONE, IL",45596,4/23/2010,10223,3785,PEOTONE BANK AND TRUST COMPANY,"130,165.00",124676,FAILURE,PA,DIF,0.130165
22853,NM,"CHICAGO, IL",377438,4/23/2010,10219,3786,BROADWAY BANK,"1,059,194.00",1023421,FAILURE,PA,DIF,1.059194
30600,SI,"CHICAGO, IL",38369,4/23/2010,10221,3787,LINCOLN PARK SAVINGS BANK,"194,618.00",162627,FAILURE,PA,DIF,0.194618
34658,NM,"CHICAGO, IL",41327,4/23/2010,10220,3788,CITIZENS BANK & TRUST COMPANY OF CHICAGO,"73,490.00",72772,FAILURE,PA,DIF,0.07349
34821,NM,"CHICAGO, IL",132056,4/23/2010,10222,3789,NEW CENTURY BANK,"447,239.00",438999,FAILURE,PA,DIF,0.447239
58429,NM,"NAPERVILLE, IL",189810,4/23/2010,10224,3790,WHEATLAND BANK,"441,694.00",448917,FAILURE,PA,DIF,0.441694
21521,NM,"LYNNWOOD, WA",154993,4/16/2010,10212,3776,CITY BANK,"981,913.00",919606,FAILURE,PA,DIF,0.981913
23876,NM,"OAKLAND, CA",22715,4/16/2010,10214,3777,INNOVATIVE BANK,"266,816.00",223164,FAILURE,PA,DIF,0.266816
24067,N,"FORT PIERCE, FL",0,4/16/2010,10216,3778,RIVERSIDE NATIONAL BANK OF FLORIDA,"3,393,818.00",2724475,FAILURE,PA,DIF,3.393818
26619,SI,"LOWELL, MA",18261,4/16/2010,10211,3779,BUTLER BANK,"245,534.00",227420,FAILURE,PA,DIF,0.245534
28886,SB,"PALATKA, FL",11969,4/16/2010,10213,3780,FIRST FEDERAL BANK OF NORTH FLORIDA,"440,122.00",369617,FAILURE,PA,DIF,0.440122
33493,NM,"SAN RAFAEL, CA",0,4/16/2010,10217,3781,TAMALPAIS BANK,"611,504.00",457206,FAILURE,PA,DIF,0.611504
34878,NM,"STERLING HEIGHTS, MI",20977,4/16/2010,10215,3782,LAKESIDE COMMUNITY BANK,"49,173.00",48622,FAILURE,PO,DIF,0.049173
57724,NM,"CLERMONT, FL",16404,4/16/2010,10210,3783,AMERICANFIRST BANK,"104,034.00",100070,FAILURE,PA,DIF,0.104034
34242,N,"MYRTLE BEACH, SC",164585,4/9/2010,10209,3775,BEACH FIRST NATIONAL BANK,"590,024.00",521138,FAILURE,PA,DIF,0.590024
34678,N,"CARTERSVILLE, GA",73589,3/26/2010,10208,3771,UNITY NATIONAL BANK,"300,590.00",264286,FAILURE,PA,DIF,0.30059
34684,SB,"KEY WEST, FL",16210,3/26/2010,10206,3772,KEY WEST BANK,"88,031.00",67662,FAILURE,PA,DIF,0.088031
57060,NM,"PHOENIX, AZ",108963,3/26/2010,10205,3773,DESERT HILLS BANK,"496,552.00",426473,FAILURE,PA,DIF,0.496552
57399,NM,"CARROLLTON, GA",164026,3/26/2010,10207,3774,MCINTOSH COMMERCIAL BANK,"363,405.00",343339,FAILURE,PA,DIF,0.363405
8221,NM,"AURORA, MN",7026,3/19/2010,10203,3764,STATE BANK OF AURORA,"28,159.00",27801,FAILURE,PA,DIF,0.028159
10054,NM,"HIAWASSEE, GA",107263,3/19/2010,10202,3765,BANK OF HIAWASSEE,"377,779.00",339597,FAILURE,PA,DIF,0.377779
18806,N,"PARMA, OH",14960,3/19/2010,10201,3766,AMERICAN NATIONAL BANK,"70,318.00",66752,FAILURE,PA,DIF,0.070318
24957,NM,"FORT DEPOSIT, AL",11725,3/19/2010,10204,3767,FIRST LOWNDES BANK,"137,175.00",131117,FAILURE,PA,DIF,0.137175
33535,NM,"DRAPER, UT",521525,3/19/2010,10200,3768,ADVANTA BANK CORP.,"1,525,931.00",1519471,FAILURE,PO,DIF,1.525931
33989,NM,"ELLIJAY, GA",456455,3/19/2010,10199,3769,APPALACHIAN COMMUNITY BANK,"1,010,075.00",917575,FAILURE,PA,DIF,1.010075
58104,NM,"DULUTH, GA",37707,3/19/2010,10198,3770,CENTURY SECURITY BANK,"96,535.00",93967,FAILURE,PA,DIF,0.096535
27096,NM,"NEW YORK, NY",76496,3/12/2010,10195,3761,THE PARK AVENUE BANK,"520,146.00",494505,FAILURE,PA,DIF,0.520146
29561,NM,"COVINGTON, LA",26124,3/12/2010,10196,3762,STATEWIDE BANK,"243,215.00",207821,FAILURE,PA,DIF,0.243215
58182,SM,"ORLANDO, FL",76501,3/12/2010,10197,3763,OLD SOUTHERN BANK,"336,390.00",319746,FAILURE,PA,DIF,0.33639
58071,NM,"NEW YORK, NY",18407,3/11/2010,10194,3760,LIBERTYPOINTE BANK,"216,500.00",209477,FAILURE,PA,DIF,0.2165
9268,SM,"NORMAL, IL",18737,3/5/2010,10191,3756,BANK OF ILLINOIS,"211,711.00",198487,FAILURE,PA,DIF,0.211711
