"Date","Price","Open","High","Low","Vol.","Change %"
1/1/2021,437.779999,387.829987,497.851898,376.399994,10951055,12.88%
2/1/2021,505.359985,444.660004,550.400024,438.029999,7153090,13.65%
3/1/2021,493.660004,518.47998,577.059998,467.220001,14808993,-4.79%
4/1/2021,571.830017,485.630005,586.780029,474.200012,10804309,17.75%
5/1/2021,582.890015,577.530029,595.900024,542.700012,7033792,0.93%
6/1/2021,556.429993,591.5,608.840027,529.299988,8117158,-5.93%
7/1/2021,549.960022,561.909973,597.317383,531.25,8092900,-2.13%
8/1/2021,559.5,554.27002,601.349976,535.77002,9291725,0.94%
9/1/2021,646.880005,562,677.140015,555.789978,8297524,15.10%
10/1/2021,717.400024,650,759.02002,643.219971,7088022,10.37%
11/1/2021,692.330017,724.190002,763.219971,687.77002,6483702,-4.40%
12/1/2021,675.599976,702.48999,726.830017,661.640015,3139322,-3.83%
1/1/2023,302.440002,232.169998,305.674988,221.649994,20928704,30.27%
2/1/2023,288.109985,300.690002,348.059998,278.380005,14569764,-4.18%
3/1/2023,106.040001,284.640015,286.970001,100,42451933,-62.75%
3/9/2023,106.040001,176.550003,177.490005,100,11485729,-39.94%
